"","Site_Year","Richness","N.Sus","Forest.type","Year","Site"
"1","ABR2_2005",65,12,"Nemoral oak forest",2005,"ABR2"
"2","ABR2_2010",63,12,"Nemoral oak forest",2010,"ABR2"
"3","ABR2_2011",69,12,"Nemoral oak forest",2011,"ABR2"
"4","ABR2_2012",65,12,"Nemoral oak forest",2012,"ABR2"
"5","BAS1_1999",75,12,"Nemoral oak forest",1999,"BAS1"
"6","BAS1_2005",76,12,"Nemoral oak forest",2005,"BAS1"
"7","BAS1_2006",63,12,"Nemoral oak forest",2006,"BAS1"
"8","BAS1_2010",80,12,"Nemoral oak forest",2010,"BAS1"
"9","BAS1_2011",70,12,"Nemoral oak forest",2011,"BAS1"
"10","EMI1_1999",28,12,"Nemoral oak forest",1999,"EMI1"
"11","EMI1_2000",38,12,"Nemoral oak forest",2000,"EMI1"
"12","EMI1_2001",42,12,"Nemoral oak forest",2001,"EMI1"
"13","EMI1_2002",40,12,"Nemoral oak forest",2002,"EMI1"
"14","EMI1_2003",26,12,"Nemoral oak forest",2003,"EMI1"
"15","EMI1_2004",31,12,"Nemoral oak forest",2004,"EMI1"
"16","EMI1_2005",27,12,"Nemoral oak forest",2005,"EMI1"
"17","EMI1_2006",30,12,"Nemoral oak forest",2006,"EMI1"
"18","EMI1_2007",31,12,"Nemoral oak forest",2007,"EMI1"
"19","EMI1_2008",27,12,"Nemoral oak forest",2008,"EMI1"
"20","EMI1_2009",31,12,"Nemoral oak forest",2009,"EMI1"
"21","EMI1_2011",26,12,"Nemoral oak forest",2011,"EMI1"
"22","EMI1_2012",26,12,"Nemoral oak forest",2012,"EMI1"
"23","EMI1_2013",23,4,"Nemoral oak forest",2013,"EMI1"
"24","EMI1_2014",20,4,"Nemoral oak forest",2014,"EMI1"
"25","EMI1_2016",30,12,"Nemoral oak forest",2016,"EMI1"
"26","EMI1_2019",25,12,"Nemoral oak forest",2019,"EMI1"
"27","EMI1_2020",29,12,"Nemoral oak forest",2020,"EMI1"
"28","EMI1_2023",22,12,"Nemoral oak forest",2023,"EMI1"
"29","FRI1_1999",51,12,"Nemoral oak forest",1999,"FRI1"
"30","FRI1_2000",50,12,"Nemoral oak forest",2000,"FRI1"
"31","FRI1_2001",55,12,"Nemoral oak forest",2001,"FRI1"
"32","FRI1_2002",53,12,"Nemoral oak forest",2002,"FRI1"
"33","FRI1_2003",57,12,"Nemoral oak forest",2003,"FRI1"
"34","FRI1_2004",61,12,"Nemoral oak forest",2004,"FRI1"
"35","FRI1_2005",63,12,"Nemoral oak forest",2005,"FRI1"
"36","FRI1_2006",53,12,"Nemoral oak forest",2006,"FRI1"
"37","FRI1_2007",56,12,"Nemoral oak forest",2007,"FRI1"
"38","FRI1_2008",49,12,"Nemoral oak forest",2008,"FRI1"
"39","FRI1_2010",55,12,"Nemoral oak forest",2010,"FRI1"
"40","FRI1_2011",51,12,"Nemoral oak forest",2011,"FRI1"
"41","FRI1_2012",53,12,"Nemoral oak forest",2012,"FRI1"
"42","FRI1_2013",33,4,"Nemoral oak forest",2013,"FRI1"
"43","FRI1_2014",31,4,"Nemoral oak forest",2014,"FRI1"
"44","LAZ1_1999",54,12,"Nemoral oak forest",1999,"LAZ1"
"45","LAZ1_2000",52,12,"Nemoral oak forest",2000,"LAZ1"
"46","LAZ1_2001",56,12,"Nemoral oak forest",2001,"LAZ1"
"47","LAZ1_2002",51,12,"Nemoral oak forest",2002,"LAZ1"
"48","LAZ1_2003",49,12,"Nemoral oak forest",2003,"LAZ1"
"49","LAZ1_2004",48,12,"Nemoral oak forest",2004,"LAZ1"
"50","LAZ1_2005",54,12,"Nemoral oak forest",2005,"LAZ1"
"51","LAZ1_2006",52,12,"Nemoral oak forest",2006,"LAZ1"
"52","LAZ1_2007",46,12,"Nemoral oak forest",2007,"LAZ1"
"53","LAZ1_2008",55,12,"Nemoral oak forest",2008,"LAZ1"
"54","LAZ1_2009",56,12,"Nemoral oak forest",2009,"LAZ1"
"55","LAZ1_2011",52,12,"Nemoral oak forest",2011,"LAZ1"
"56","LAZ1_2012",46,12,"Nemoral oak forest",2012,"LAZ1"
"57","LAZ1_2013",39,4,"Nemoral oak forest",2013,"LAZ1"
"58","LAZ1_2014",38,4,"Nemoral oak forest",2014,"LAZ1"
"59","LAZ1_2016",50,12,"Nemoral oak forest",2016,"LAZ1"
"60","LAZ1_2019",44,12,"Nemoral oak forest",2019,"LAZ1"
"61","LAZ1_2020",45,12,"Nemoral oak forest",2020,"LAZ1"
"62","LAZ1_2023",42,12,"Nemoral oak forest",2023,"LAZ1"
"63","MAR1_2000",61,12,"Nemoral oak forest",2000,"MAR1"
"64","MAR1_2001",58,12,"Nemoral oak forest",2001,"MAR1"
"65","MAR1_2002",59,12,"Nemoral oak forest",2002,"MAR1"
"66","MAR1_2003",59,12,"Nemoral oak forest",2003,"MAR1"
"67","MAR1_2004",58,12,"Nemoral oak forest",2004,"MAR1"
"68","MAR1_2005",59,12,"Nemoral oak forest",2005,"MAR1"
"69","MAR1_2006",53,12,"Nemoral oak forest",2006,"MAR1"
"70","MAR1_2007",55,12,"Nemoral oak forest",2007,"MAR1"
"71","MAR1_2008",51,12,"Nemoral oak forest",2008,"MAR1"
"72","MAR1_2009",63,12,"Nemoral oak forest",2009,"MAR1"
"73","MAR1_2011",53,12,"Nemoral oak forest",2011,"MAR1"
"74","MAR1_2012",62,12,"Nemoral oak forest",2012,"MAR1"
"75","MAR1_2013",49,4,"Nemoral oak forest",2013,"MAR1"
"76","MAR1_2014",50,4,"Nemoral oak forest",2014,"MAR1"
"77","PIE2_2006",20,12,"Nemoral oak forest",2006,"PIE2"
"78","PIE2_2010",24,12,"Nemoral oak forest",2010,"PIE2"
"79","PIE2_2011",24,12,"Nemoral oak forest",2011,"PIE2"
"80","SIC1_2005",37,12,"Nemoral oak forest",2005,"SIC1"
"81","SIC1_2009",35,12,"Nemoral oak forest",2009,"SIC1"
"82","SIC1_2011",31,12,"Nemoral oak forest",2011,"SIC1"
"83","SIC1_2012",34,12,"Nemoral oak forest",2012,"SIC1"
"84","UMB1_1999",54,12,"Nemoral oak forest",1999,"UMB1"
"85","UMB1_2005",45,12,"Nemoral oak forest",2005,"UMB1"
"86","UMB1_2010",55,12,"Nemoral oak forest",2010,"UMB1"
"87","UMB1_2011",57,12,"Nemoral oak forest",2011,"UMB1"
"88","VEN2_2006",25,12,"Nemoral oak forest",2006,"VEN2"
"89","VEN2_2009",27,12,"Nemoral oak forest",2009,"VEN2"
"90","VEN2_2011",27,12,"Nemoral oak forest",2011,"VEN2"
"91","VEN2_2012",19,12,"Nemoral oak forest",2012,"VEN2"
"92","VEN2_2013",12,4,"Nemoral oak forest",2013,"VEN2"
"93","VEN2_2014",11,4,"Nemoral oak forest",2014,"VEN2"
"94","VEN2_2016",19,12,"Nemoral oak forest",2016,"VEN2"
"95","VEN2_2020",20,12,"Nemoral oak forest",2020,"VEN2"
"96","VEN2_2023",22,12,"Nemoral oak forest",2023,"VEN2"
